timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/20 14:56:19.150, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:19.150, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:20.150, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:20.151, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:20.151, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:21.151, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:21.151, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:21.152, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:22.152, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:22.152, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:22.152, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:23.152, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:23.152, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:23.153, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:24.153, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:24.153, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:24.153, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:25.154, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:25.154, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:25.154, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:26.154, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:26.155, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:26.155, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:27.155, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:27.155, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:27.155, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:28.156, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:28.156, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:28.157, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:29.157, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:29.157, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:29.157, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:30.158, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 14:56:30.158, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:30.158, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:31.159, 0, NVIDIA L40S, 20 MiB, 46068 MiB, 0 %
2026/08/20 14:56:31.161, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:31.163, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:32.165, 0, NVIDIA L40S, 7621 MiB, 46068 MiB, 20 %
2026/08/20 14:56:32.166, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:32.166, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:33.166, 0, NVIDIA L40S, 7689 MiB, 46068 MiB, 7 %
2026/08/20 14:56:33.166, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:33.166, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:34.167, 0, NVIDIA L40S, 8589 MiB, 46068 MiB, 10 %
2026/08/20 14:56:34.167, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:34.167, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:35.167, 0, NVIDIA L40S, 11641 MiB, 46068 MiB, 15 %
2026/08/20 14:56:35.167, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:35.167, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:36.168, 0, NVIDIA L40S, 15523 MiB, 46068 MiB, 18 %
2026/08/20 14:56:36.168, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:36.168, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:37.168, 0, NVIDIA L40S, 17263 MiB, 46068 MiB, 8 %
2026/08/20 14:56:37.169, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
